cle,coup_denvoi,competition,code,marche,complement,p_brute,p_calibree,origine,resultat,version_moteur
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,1X2_1,1,0,0.518014,0.518014,marche,perdu,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,1X2_2,2,0,0.236091,0.236091,marche,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,1X2_N,N,0,0.245894,0.245894,marche,perdu,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,BTTS_N,BTTS oui,1,0.407235,0.407235,calcul,perdu,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,BTTS_O,BTTS oui,0,0.592765,0.592765,calcul,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,DC_12,12,0,0.754106,0.754106,marche,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,DC_1X,1X,0,0.763909,0.763909,marche,perdu,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,DC_X2,X2,0,0.481986,0.481986,marche,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,DOM_2PLUS,dom +1.5,0,0.550156,0.550156,calcul,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,DOM_MARQUE,dom marque,0,0.841833,0.841833,calcul,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,EXT_2PLUS,ext +1.5,0,0.33475,0.35793,calcul,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,EXT_MARQUE,ext marque,0,0.696613,0.723171,calcul,gagne,4.0.0
PL:2026-09-19:tottenham:aston-villa,2026-09-19T11:30:00+00:00,PL,HCP_A_+1,HC dom +1,0,0.702598,0.73288,calcul,gagne,4.0.0
